Screen Id,class
14,List
26,Map
41,Search
73,Map
77,Setting
95,List
101,Login
108,Login
117,Menu
123,Menu
124,List
127,Menu
130,Menu
131,Menu
135,Menu
140,Login
141,Login
149,Menu
158,Menu
161,Menu
169,Setting
174,Map
176,Menu
178,Menu
180,Profile
183,Menu
186,Menu
189,Menu
194,Menu
195,Menu
196,Setting
204,Search
208,Search
228,List
230,Map
240,Map
244,List
247,Profile
256,List
257,List
265,Setting
272,List
295,List
313,Search
315,Login
320,List
321,Welcome
338,List
340,List
350,List
361,List
362,List
366,List
370,Setting
371,Welcome
374,Welcome
380,Search
387,Search
388,Setting
391,Search
392,Search
430,Login
453,Map
473,Welcome
476,List
479,Welcome
483,List
492,Chat
497,List
497,Search
503,Welcome
514,Login
526,List
527,Map
529,Welcome
535,Welcome
545,List
546,List
565,Welcome
567,Welcome
603,List
604,List
606,List
607,List
629,Setting
633,Setting
634,Setting
636,Setting
637,Welcome
644,Setting
660,List
676,List
677,Setting
686,List
692,List
701,Welcome
732,List
735,Login
738,List
741,List
747,List
748,List
749,Map
758,Setting
761,Setting
768,Login
771,Welcome
781,Setting
783,Setting
784,Setting
796,List
803,List
804,Welcome
811,List
813,Search
818,List
823,Login
824,Login
834,List
835,List
837,Map
865,Setting
879,Login
881,Map
888,Welcome
890,List
894,List
901,List
908,Chat
926,Profile
957,Search
974,List
999,List
1003,Search
1007,Setting
1009,Menu
1012,Menu
1014,Menu
1015,Menu
1021,Login
1027,Map
1028,List
1030,Map
1047,Welcome
1050,Setting
1054,Chat
1059,Welcome
1061,Setting
1065,Profile
1067,Login
1068,Profile
1069,Profile
1073,List
1079,List
1080,Login
1082,Login
1105,Search
1111,Home
1113,Login
1114,Login
1129,Welcome
1133,Menu
1134,Menu
1141,Home
1145,Menu
1147,Menu
1151,Profile
1191,Map
1199,Setting
1205,Menu
1206,Map
1207,Map
1208,Map
1209,Welcome
1210,Menu
1213,Home
1218,List
1220,Search
1226,Search
1231,Home
1234,List
1236,Search
1261,Setting
1263,List
1266,Search
1268,Welcome
1270,List
1271,Welcome
1274,Search
1281,Profile
1283,Menu
1291,Menu
1292,Menu
1293,Menu
1294,Home
1296,Menu
1303,List
1305,List
1323,Home
1324,Home
1325,Welcome
1350,Welcome
1352,Welcome
1353,Search
1355,Profile
1356,Welcome
1371,Profile
1381,Home
1405,Profile
1422,Menu
1426,Menu
1431,Menu
1433,Welcome
1434,Menu
1441,List
1443,Menu
1444,Menu
1446,Menu
1451,Welcome
1452,Menu
1453,Menu
1454,Map
1457,Map
1459,Welcome
1460,Setting
1461,List
1464,Map
1465,Map
1466,Menu
1467,List
1470,Menu
1481,Menu
1483,List
1519,Setting
1520,Setting
1534,Welcome
1537,Profile
1553,Profile
1580,Menu
1584,Chat
1585,Profile
1589,Chat
1593,Chat
1622,Login
1622,Welcome
1626,Home
1643,Home
1649,Home
1672,List
1687,List
1692,Map
1693,List
1694,Map
1731,List
1732,Home
1739,Menu
1740,Menu
1741,Setting
