screen_id,category,components_path,total_violations,high,medium,low,auto_score,top_rules,r26,r27,r28,r29,r30,manual_verdict,false_positives_notes,missed_issues_notes,reviewer
chat_1054,chat,data\data-masc\parsed\chat\1054_components.json,2,1,1,0,85,"R15,R18",0,0,0,0,0,,,,Noor
chat_27877,chat,data\data-masc\parsed\chat\27877_components.json,12,10,2,0,0,"R01,R13,R08,R15",0,0,0,0,0,,,,Noor
chat_4115,chat,data\data-masc\parsed\chat\4115_components.json,0,0,0,0,100,,0,0,0,0,0,,,,Noor
chat_52748,chat,data\data-masc\parsed\chat\52748_components.json,16,7,9,0,0,"R08,R01,R18,R15",0,0,0,0,0,,,,Noor
home_10053,home,data\data-masc\parsed\home\10053_components.json,1,0,1,0,95,R14,0,0,0,0,0,,,,Noor
home_28771,home,data\data-masc\parsed\home\28771_components.json,0,0,0,0,100,,0,0,0,0,0,,,,Noor
home_44029,home,data\data-masc\parsed\home\44029_components.json,1,1,0,0,90,R18,0,0,0,0,0,,,,Noor
home_57865,home,data\data-masc\parsed\home\57865_components.json,22,9,13,0,0,"R17,R01,R24",0,0,0,0,0,,,,Noor
list_10128,list,data\data-masc\parsed\list\10128_components.json,3,2,1,0,75,"R01,R15,R18",0,0,0,0,0,,,,Noor
list_20594,list,data\data-masc\parsed\list\20594_components.json,2,2,0,0,80,"R01,R18",0,0,0,0,0,,,,Noor
list_31630,list,data\data-masc\parsed\list\31630_components.json,36,24,12,0,0,"R01,R02,R08,R30,R17",0,0,0,0,6,,,,Noor
list_52107,list,data\data-masc\parsed\list\52107_components.json,45,27,18,0,0,"R08,R01,R18",0,0,0,0,0,,,,Noor
login_101,login,data\data-masc\parsed\login\101_components.json,6,6,0,0,40,"R01,R05,R18",0,0,0,0,0,,,,Noor
login_25173,login,data\data-masc\parsed\login\25173_components.json,23,8,15,0,0,"R08,R01,R18,R04,R15",0,0,0,0,0,,,,Noor
login_41105,login,data\data-masc\parsed\login\41105_components.json,15,15,0,0,0,"R01,R05,R18,R02,R30",0,0,0,0,1,,,,Noor
login_57585,login,data\data-masc\parsed\login\57585_components.json,6,5,1,0,45,"R18,R03",0,0,0,0,0,,,,Noor
maps_10023,maps,data\data-masc\parsed\maps\10023_components.json,46,18,28,0,0,"R08,R01,R17,R02,R30",0,0,0,0,3,,,,Noor
maps_18975,maps,data\data-masc\parsed\maps\18975_components.json,14,5,9,0,5,"R08,R01",0,0,0,0,0,,,,Noor
maps_38748,maps,data\data-masc\parsed\maps\38748_components.json,7,2,5,0,55,"R08,R01,R15",0,0,0,0,0,,,,Noor
maps_5561,maps,data\data-masc\parsed\maps\5561_components.json,21,13,8,0,0,"R01,R08,R18,R02,R15",0,0,0,0,1,,,,Noor
menu_10035,menu,data\data-masc\parsed\menu\10035_components.json,17,9,8,0,0,"R01,R08,R17,R02,R15",0,0,0,0,1,,,,Noor
menu_12947,menu,data\data-masc\parsed\menu\12947_components.json,16,11,5,0,0,"R01,R08,R15,R18",0,0,0,0,0,,,,Noor
menu_17057,menu,data\data-masc\parsed\menu\17057_components.json,57,15,42,0,0,"R08,R01,R02,R18,R30",0,0,0,0,2,,,,Noor
menu_3207,menu,data\data-masc\parsed\menu\3207_components.json,19,4,15,0,0,"R08,R01,R15,R18",0,0,0,0,0,,,,Noor
profile_10106,profile,data\data-masc\parsed\profile\10106_components.json,10,3,7,0,35,"R14,R18,R08,R15",0,0,0,0,0,,,,Noor
profile_26284,profile,data\data-masc\parsed\profile\26284_components.json,19,18,1,0,0,"R01,R18,R02,R30,R08",0,0,0,0,3,,,,Noor
profile_43462,profile,data\data-masc\parsed\profile\43462_components.json,10,9,1,0,5,"R18,R01,R05,R15",0,0,0,0,0,,,,Noor
profile_59716,profile,data\data-masc\parsed\profile\59716_components.json,0,0,0,0,100,,0,0,0,0,0,,,,Noor
search_1003,search,data\data-masc\parsed\search\1003_components.json,9,9,0,0,10,"R01,R05,R18",0,0,0,0,0,,,,Noor
search_29585,search,data\data-masc\parsed\search\29585_components.json,2,1,1,0,85,"R01,R15",0,0,0,0,0,,,,Noor
search_46316,search,data\data-masc\parsed\search\46316_components.json,2,0,2,0,90,"R06,R15",0,0,0,0,0,,,,Noor
search_60416,search,data\data-masc\parsed\search\60416_components.json,27,22,4,1,0,"R01,R02,R30,R08,R05",0,0,0,0,6,,,,Noor
settings_1007,settings,data\data-masc\parsed\settings\1007_components.json,3,3,0,0,70,"R11,R01",0,0,0,0,0,,,,Noor
settings_24007,settings,data\data-masc\parsed\settings\24007_components.json,15,11,4,0,0,"R01,R06,R11,R15",0,0,0,0,0,,,,Noor
settings_36573,settings,data\data-masc\parsed\settings\36573_components.json,4,4,0,0,60,"R18,R01",0,0,0,0,0,,,,Noor
settings_55800,settings,data\data-masc\parsed\settings\55800_components.json,3,1,2,0,80,"R01,R14,R15",0,0,0,0,0,,,,Noor
welcome_10216,welcome,data\data-masc\parsed\welcome\10216_components.json,0,0,0,0,100,,0,0,0,0,0,,,,Noor
welcome_3579,welcome,data\data-masc\parsed\welcome\3579_components.json,16,16,0,0,0,"R01,R02,R30",0,0,0,0,5,,,,Noor
welcome_48138,welcome,data\data-masc\parsed\welcome\48138_components.json,0,0,0,0,100,,0,0,0,0,0,,,,Noor
welcome_61424,welcome,data\data-masc\parsed\welcome\61424_components.json,0,0,0,0,100,,0,0,0,0,0,,,,Noor
