epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.612,1.8029,2.69237,1.73174,0.44827,0.2274,0.1512,0.0798,1.65659,2.35864,1.70026,0.000255919,0.000255919,0.000255919
2,517.999,1.54412,2.21897,1.57388,0.40378,0.23962,0.17323,0.09828,1.51854,2.20809,1.60336,0.000511904,0.000511904,0.000511904
3,777.356,1.50776,2.17644,1.54325,0.26413,0.28711,0.1967,0.11438,1.49674,2.13513,1.57686,0.000766501,0.000766501,0.000766501
4,1035.06,1.45528,2.1254,1.51286,0.34384,0.29267,0.20837,0.12311,1.43263,2.13269,1.53776,0.000764314,0.000764314,0.000764314
5,1292.27,1.4042,2.07768,1.48726,0.34071,0.32027,0.23867,0.14686,1.41739,2.07074,1.51702,0.000760682,0.000760682,0.000760682
6,1548.9,1.38282,2.04541,1.47731,0.46541,0.27517,0.24907,0.15472,1.37391,2.03987,1.4971,0.000756029,0.000756029,0.000756029
7,1805.7,1.34132,2.00232,1.44896,0.42161,0.33879,0.2596,0.16441,1.35335,2.017,1.4767,0.000750369,0.000750369,0.000750369
8,2062.61,1.32217,1.98274,1.42995,0.38661,0.34555,0.26198,0.16489,1.32717,1.97538,1.46313,0.000743717,0.000743717,0.000743717
9,2319.38,1.30659,1.96021,1.41833,0.37719,0.34588,0.26889,0.17612,1.29874,1.95971,1.43999,0.000736091,0.000736091,0.000736091
10,2576.42,1.27858,1.92901,1.4028,0.40915,0.35239,0.28459,0.18645,1.28473,1.91915,1.433,0.000727511,0.000727511,0.000727511
11,2833.7,1.27338,1.92472,1.4003,0.40859,0.34535,0.28088,0.18746,1.25922,1.92686,1.41664,0.000718002,0.000718002,0.000718002
12,3090.93,1.26469,1.91116,1.39209,0.39371,0.3656,0.29641,0.1994,1.24493,1.89524,1.40528,0.000707589,0.000707589,0.000707589
13,3347.43,1.25688,1.89161,1.38699,0.4227,0.36472,0.29159,0.19685,1.24192,1.8611,1.4035,0.000696301,0.000696301,0.000696301
14,3604.5,1.23334,1.8693,1.37581,0.38852,0.37987,0.30753,0.20985,1.21396,1.84315,1.38858,0.000684169,0.000684169,0.000684169
15,3861.28,1.21339,1.84118,1.35975,0.42204,0.37038,0.30267,0.20824,1.21693,1.84699,1.38626,0.000671227,0.000671227,0.000671227
